,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
54,40,34,26,8,0,153.84,2,bowled,1,v New Zealand,Christchurch,20Apr094
55,63,125,77,7,1,81.81,2,caught,1,v U.A.E.,Sharjah,130Apr094
56,6,13,5,0,0,120,2,caught,1,v Sri Lanka,Colombo (RPS),50Sep094
57,0,6,2,0,0,0,2,caught,2,v Sri Lanka,Colombo (SSC),170Sep094
58,0,3,4,0,0,0,2,caught,2,v West Indies,Faridabad,170Oct094
59,0,7,4,0,0,0,2,caught,2,v West Indies,Mumbai,200Oct094
60,8,28,24,0,0,33.33,3,caught,2,v West Indies,Chennai,230Oct094
61,115,184,136,9,3,84.55,2,run out,2,v New Zealand,Vadodara,280Oct094
62,34,53,47,7,0,72.34,2,bowled,2,v West Indies,Kanpur,300Oct094
63,62,80,54,13,0,114.81,2,bowled,1,v New Zealand,Delhi,30Nov094
64,66,101,68,8,0,97.05,2,caught,1,v West Indies,Kolkata,50Nov094
65,54,130,64,5,0,84.37,2,caught,1,v West Indies,Visakhapatnam,70Nov094
66,88,147,112,10,0,78.57,2,bowled,2,v West Indies,Cuttack,90Nov094
67,105,180,134,10,0,78.35,2,caught,1,v West Indies,Jaipur,110Nov094
68,13,30,15,3,0,86.66,2,caught,1,v New Zealand,Napier,160Feb095
69,30,30,20,5,0,150,2,caught,1,v New Zealand,Jamshedpur,150Nov095
70,39,79,51,4,0,76.47,2,caught,2,v New Zealand,Amritsar,180Nov095
71,7,27,11,1,0,63.63,2,caught,2,v New Zealand,Pune,240Nov095
72,65,96,59,9,1,110.16,2,run out,2,v New Zealand,Nagpur,260Nov095
73,1,14,4,0,0,25,2,bowled,2,v New Zealand,Mumbai (BS),290Nov095
74,127,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,180Feb096
75,70,137,91,8,0,76.92,2,run out,2,v West Indies,Gwalior,210Feb096
76,90,124,84,14,1,107.14,2,stumped,2,v Australia,Mumbai,270Feb096
77,137,198,137,8,5,100,2,run out,1,v Sri Lanka,Delhi,20Mar096
78,3,10,12,0,0,25,1,bowled,1,v Zimbabwe,Kanpur,60Mar096
79,31,103,59,3,0,52.54,2,bowled,1,v Pakistan,Bengaluru,90Mar096
80,65,96,88,9,0,73.86,1,stumped,2,v Sri Lanka,Kolkata,130Mar096
81,6,26,19,0,0,31.57,2,run out,1,v England,Leeds,250May096
82,1,18,11,0,0,9.09,2,caught,1,v England,Manchester,260May096
83,110,0,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),280Aug096
84,11,20,8,2,0,137.5,2,caught,2,v South Africa,Hyderabad (Deccan),170Oct096
85,88,189,111,9,0,79.27,2,lbw,2,v Australia,Bengaluru,210Oct096
86,64,133,93,3,0,68.81,2,caught,2,v South Africa,Jaipur,230Oct096
87,28,55,38,5,0,73.68,1,lbw,1,v South Africa,Rajkot,290Oct096
88,62,0,60,8,0,103.33,1,caught,1,v Australia,Mohali,30Nov096
89,67,128,88,6,0,76.13,2,caught,1,v South Africa,Mumbai,60Nov096
90,114,157,126,14,0,90.47,1,stumped,1,v South Africa,Mumbai,140Dec096
91,0,12,4,0,0,0,2,bowled,2,v South Africa,Bloemfontein,230Jan097
92,1,14,14,0,0,7.14,4,bowled,1,v South Africa,Port Elizabeth,20Feb097
93,14,34,24,2,0,58.33,3,caught,1,v South Africa,East London,40Feb097
94,45,48,33,7,1,136.36,2,caught,2,v South Africa,Durban,130Feb097
95,13,18,15,0,1,86.66,2,caught,1,v Zimbabwe,Bulawayo,150Feb097
96,44,57,43,10,0,102.32,1,caught,1,v West Indies,Port of Spain,260Apr097
97,65,111,70,7,0,92.85,1,not out,2,v West Indies,Port of Spain,270Apr097
98,9,22,15,1,0,60,1,bowled,2,v West Indies,Kingstown,300Apr097
99,1,17,11,0,0,9.09,1,caught,1,v West Indies,Bridgetown,30May097
100,117,188,137,13,2,85.4,2,bowled,2,v New Zealand,Bengaluru,140May097
101,2,19,4,0,0,50,2,caught,1,v Sri Lanka,Mumbai,170May097
102,4,10,7,1,0,57.14,1,caught,2,v Pakistan,Chennai,210May097
103,21,49,28,3,0,75,1,bowled,1,v Sri Lanka,Colombo (RPS),180Jul097
104,53,109,67,2,0,79.1,4,caught,1,v Sri Lanka,Colombo (RPS),260Jul097
